PG.ProteinAccessions,PG.Genes,PG.ProteinDescriptions,PG.ProteinNames,Control_R1.raw.PG.Quantity,Control_R1.raw.PG.NrOfPrecursorsMeasured,Control_R1.raw.PG.NrOfStrippedSequencesIdentified,Control_R2.raw.PG.Quantity,Control_R2.raw.PG.NrOfPrecursorsMeasured,Control_R2.raw.PG.NrOfStrippedSequencesIdentified,Control_R3.raw.PG.Quantity,Control_R3.raw.PG.NrOfPrecursorsMeasured,Control_R3.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R1.raw.PG.Quantity,TreatmentA_R1.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R1.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R2.raw.PG.Quantity,TreatmentA_R2.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R2.raw.PG.NrOfStrippedSequencesIdentified,TreatmentA_R3.raw.PG.Quantity,TreatmentA_R3.raw.PG.NrOfPrecursorsMeasured,TreatmentA_R3.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R1.raw.PG.Quantity,TreatmentB_R1.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R1.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R2.raw.PG.Quantity,TreatmentB_R2.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R2.raw.PG.NrOfStrippedSequencesIdentified,TreatmentB_R3.raw.PG.Quantity,TreatmentB_R3.raw.PG.NrOfPrecursorsMeasured,TreatmentB_R3.raw.PG.NrOfStrippedSequencesIdentified,PG.Log2FC,PG.Pvalue
P00209,GENE0209,Protein description 209,GENE0209_HUMAN,6769.94152987271,10,4,7685.394926298804,10,4,6652.654434602781,11,4,8263.943102114708,12,4,7849.69628356085,11,3,6593.579638415181,11,4,71383.78151361473,11,3,96366.02982567987,10,4,74492.1248725974,10,4,0.10177873425327988,0.43850450496612303
P00210,GENE0210,Protein description 210,GENE0210_HUMAN,17323.485743026242,10,5,17165.918221300875,10,6,17300.42076534901,9,6,22951.780731054165,11,5,22324.813035414456,11,6,17224.751070220686,11,5,14782.232580963386,9,6,14460.509010262267,9,5,16925.47647522391,11,6,0.25955130316767416,0.12057891894657491
P00211,GENE0211,Protein description 211,GENE0211_HUMAN,136836.23888224197,3,3,159612.13236839062,2,4,152341.2276609192,3,4,192524.7717994821,2,4,143996.7596507884,1,3,184418.43411986876,2,4,14340.550427525242,2,4,19852.309002959046,1,3,18084.157228708234,3,4,0.20657873537409444,0.2304996540804822
P00212,GENE0212,Protein description 212,GENE0212_HUMAN,3362.9973611879714,2,4,3045.5844833583265,4,5,3671.301960910187,4,4,3661.0777801866902,3,4,4070.326642188403,2,5,4227.704603341671,4,5,3453.561675014978,2,5,2761.830520286538,2,5,3437.1613481885397,3,4,0.24817634157788326,0.0673816665769444
P00213,GENE0213,Protein description 213,GENE0213_HUMAN,38726.05254344649,9,5,41766.577155537445,10,5,34189.49900541442,10,5,31891.481599159295,8,5,45922.08067761943,8,5,,9,5,2705.52539653666,9,5,2626.545331530861,8,4,3246.509396230914,9,4,0.006444016695526855,0.9788709254191243
P00214,GENE0214,Protein description 214,GENE0214_HUMAN,17010.866623113943,7,4,15635.419999547543,8,4,15896.354291361751,9,4,16068.747779386928,8,4,15843.808192174312,7,3,16802.577855610543,8,3,,9,3,12595.71427218562,8,3,10194.49756913472,9,3,0.005629562701424007,0.9067607505233024
P00215,GENE0215,Protein description 215,GENE0215_HUMAN,15182.327442458549,13,5,19970.430916566816,12,4,17900.287682001923,13,4,22095.661997953917,12,4,29569.142622255844,14,5,23212.162287225292,13,4,15391.655617041411,14,5,15862.574054874669,13,4,16737.7828874343,14,5,0.4941650931251491,0.04643235274873447
P00216,GENE0216,Protein description 216,GENE0216_HUMAN,189331.12432886806,12,5,165049.6026343367,12,6,179537.5761587857,13,6,232052.41902729712,14,5,225814.0082187897,14,6,192014.94064127398,14,6,148144.71694490462,12,6,166131.16724753386,13,5,178432.07956493017,14,5,0.28090240283864176,0.05250559042832847
P00217,GENE0217,Protein description 217,GENE0217_HUMAN,96848.30201602388,3,2,81994.7175766985,3,3,100434.11985910297,1,2,94904.39272845665,1,2,88799.40189281719,2,3,106970.72779009573,2,3,81885.36766984408,2,2,75215.67306664969,2,3,66440.54683883468,2,2,0.058911230646735646,0.6479883211091835
P00218,GENE0218,Protein description 218,GENE0218_HUMAN,275481.73544620915,8,1,292484.8954425533,10,1,375524.0721621955,9,1,341631.9270089594,10,1,387604.42565843597,8,1,374366.5977066135,10,1,289665.99065212655,10,1,336900.81370406086,10,1,308051.9407651583,8,2,0.23741846146735668,0.1822023439967261
P00219,GENE0219,Protein description 219,GENE0219_HUMAN,26364.434134375035,7,2,28810.80297096914,6,3,26563.42886414563,6,3,31012.15595868598,8,2,29894.07251437546,8,3,26303.12238230802,6,2,2585.354272480842,8,2,2713.6796799424887,6,3,2674.836785361312,6,3,0.09109435272110211,0.3333197936822261
P00220,GENE0220,Protein description 220,GENE0220_HUMAN,10468.891589383871,7,3,13506.821940639671,8,3,12074.304655628059,9,4,12464.030595596036,8,3,10413.846759244652,7,3,12100.898193259247,9,4,7556.753383690338,7,4,10888.128797950081,7,3,7620.920809559995,7,4,-0.040116390433212246,0.7783699026639994
P00221,GENE0221,Protein description 221,GENE0221_HUMAN,23384.68208783735,2,2,24176.726333368177,1,3,21384.46773180618,3,3,22208.190899780904,3,3,23400.58268920823,1,3,22462.585810944194,1,3,16523.214946434335,2,3,21813.26019711648,1,2,22425.939762022812,2,3,-0.016861892982161564,0.7843230021322284
P00222,GENE0222,Protein description 222,GENE0222_HUMAN,49260.96061583767,13,2,,11,3,53800.41524481953,13,2,68354.94433938123,12,2,67485.53554269671,12,2,55191.98633142529,12,3,47965.13560346508,13,2,54753.13603608395,11,3,42605.673065049305,13,3,0.2999965724096505,0.11703914534073886
P00223,GENE0223,Protein description 223,GENE0223_HUMAN,52688.67005272218,5,5,32448.921352158824,5,5,42949.94167338099,4,5,49480.741920274275,5,6,44367.93885943871,5,6,43079.20300311688,5,6,38342.38279543435,5,5,35147.97430813524,3,6,38274.889355428124,3,6,0.12168558895167081,0.596077071006621
P00224,GENE0224,Protein description 224,GENE0224_HUMAN,5345.859208877956,13,6,4026.145358884597,13,6,4808.658209671195,15,6,4896.8984390945325,15,5,6577.6070644864485,15,5,5403.631922449351,15,6,4436.00289146958,13,6,3788.1744861459447,15,5,3892.7604120102415,15,6,0.24996833990233291,0.22179330017446722
P00225,GENE0225,Protein description 225,GENE0225_HUMAN,43524.438386481095,15,7,49457.90292627629,13,7,42071.888930874484,13,8,34130.10490409706,13,8,48430.10015586323,14,8,40003.239007631586,14,7,,13,8,29998.243736855242,15,8,38498.07430081345,14,7,-0.15127256384416654,0.40412204327760715
P00226,GENE0226,Protein description 226,GENE0226_HUMAN,65950.32450892308,13,7,44548.38413685402,11,7,44332.59461867377,12,7,54382.2081473287,13,7,60632.0557033004,12,6,54015.586798165496,12,7,50220.04853074727,11,7,46638.690069822376,11,7,37380.12113776644,11,7,0.15049019348944803,0.4882836427841176
P00227,GENE0227,Protein description 227,GENE0227_HUMAN,2743385.427875773,3,3,2300742.9127701973,4,3,2987300.8935561622,4,4,3410957.9804607057,4,4,3197146.80250629,2,4,3100761.2427627617,4,3,15438367.760929195,4,4,11729208.556973614,4,4,9623652.870670244,2,3,0.2808949152916753,0.07612388735043969
P00228,GENE0228,Protein description 228,GENE0228_HUMAN,774514.4246360087,8,8,900122.1633997515,8,7,957952.2015993333,8,8,1093289.8122359838,6,8,970191.9658522321,6,7,924487.6378717745,6,8,671695.5856128893,6,7,744092.2528304937,6,8,714983.0026574779,8,8,0.18472054833246787,0.186509851705499
P00229,GENE0229,Protein description 229,GENE0229_HUMAN,7631.993516195784,1,7,8084.284862871698,3,7,7792.056407183931,3,8,7738.77516337349,1,7,,3,7,9246.771118603137,3,7,8702.773245624809,2,8,,1,8,6304.472157419655,3,7,0.11079938687860214,0.3516741108721073
P00230,GENE0230,Protein description 230,GENE0230_HUMAN,25141.59854620212,8,2,17735.70323667189,8,3,16563.79897491483,9,2,26982.745795300314,8,3,18160.621125748807,9,2,22680.909488777303,9,3,17091.353820665572,8,3,17759.368891979844,8,2,12769.861840210595,8,3,0.19652089624490543,0.4743974198097093
P00231,GENE0231,Protein description 231,GENE0231_HUMAN,2524.551602745811,14,3,2629.485820316229,12,2,2040.2801674649356,12,2,3042.278261414417,14,3,,14,2,2698.805772828633,12,3,17685.557315056725,14,2,11059.230616621802,14,3,16591.19845587383,14,3,0.2655449146278528,0.19565774383442977
P00232,GENE0232,Protein description 232,GENE0232_HUMAN,10060.57231535932,9,8,14099.799287375741,9,7,12415.881959044018,9,8,15074.827033275467,9,7,11598.653139242062,8,7,,9,7,7797.878415690655,7,7,11183.519346887793,8,8,9635.080585714792,7,8,0.13085811740856457,0.6110085156567244
P00233,GENE0233,Protein description 233,GENE0233_HUMAN,68606.74481445235,3,8,56517.85332126755,2,8,54176.03718250363,2,8,67438.42967540749,2,7,60217.65398086797,3,7,61410.96630212182,3,7,55791.40142835386,2,8,47792.7252453885,3,7,43749.01838731634,2,7,0.08251393184120381,0.5174144881758563
P00234,GENE0234,Protein description 234,GENE0234_HUMAN,256641.07800841797,4,7,278625.0319043177,4,6,184324.56947818684,5,7,330202.8120055622,6,6,321489.4053874416,6,6,277055.5387041357,5,7,208036.93761838795,4,6,229958.9164930938,5,6,219786.59321562317,4,6,0.38599114624775055,0.12368652709036075
P00235,GENE0235,Protein description 235,GENE0235_HUMAN,9159.826356807967,3,5,10302.168959880824,3,5,11642.528486913936,3,5,10452.768017290458,5,4,13204.776667411046,4,5,12767.353809035327,4,4,7159.005033911589,4,5,7161.937041018821,4,4,6183.773686039528,5,5,0.22721993468637436,0.19240074136144508
P00236,GENE0236,Protein description 236,GENE0236_HUMAN,11312.151416842644,7,8,10815.747520871899,8,7,11079.100444374286,8,7,10763.104312724492,7,8,10656.887012490795,8,8,11920.245899914155,8,8,7608.065763736515,7,7,8393.175567049875,8,8,6583.008911892579,8,8,0.004148949745408359,0.9434277654628984
P00237,GENE0237,Protein description 237,GENE0237_HUMAN,791.3334329231278,5,7,980.3157115561161,7,6,727.0612608885315,5,7,1098.6519442688723,7,6,915.6573171681289,7,6,882.2902591128545,6,6,644.2331498793134,7,6,561.2673716884999,7,6,,5,7,0.2180381835550662,0.24786004437603115
P00238,GENE0238,Protein description 238,GENE0238_HUMAN,23971.82479483959,13,7,21464.73726937093,11,6,26360.647787353944,13,7,29904.609501336992,13,6,26814.395777968668,11,6,31899.882042128724,13,6,23485.75043633511,12,7,21292.405665094237,12,7,23244.116152631013,12,7,0.30507754679434385,0.0535853175622677
P00239,GENE0239,Protein description 239,GENE0239_HUMAN,5798.46027451463,5,5,5382.317139471374,4,5,4945.668845260918,5,6,6246.50510001646,5,5,6193.393422895468,3,6,6692.164996511945,5,6,4458.570848230889,4,6,4006.2920109843226,5,5,3021.957378372905,5,5,0.24872981366946867,0.029652951517140615
P00240,GENE0240,Protein description 240,GENE0240_HUMAN,10794.020276446206,6,3,12541.483259392917,5,3,13054.659634665579,4,2,14209.047202129044,5,2,11919.717010521197,6,3,,5,3,52657.41036758747,4,3,,4,2,41121.991601097085,5,3,0.10624485765033853,0.5122526798657565
P00241,GENE0241,Protein description 241,GENE0241_HUMAN,6903.847619179213,6,7,5817.612347392322,5,6,7028.028701940595,5,6,8468.156130457206,4,7,8780.698729616535,4,6,8819.3852067185,4,7,6595.974882506222,6,6,6845.167115792296,6,6,4921.668051401778,5,6,0.40537127834219255,0.010336540135119013
P00242,GENE0242,Protein description 242,GENE0242_HUMAN,34485.841878377854,12,7,21956.738060709165,13,8,33480.10764591583,14,7,37858.88347899555,12,7,36278.71599884995,14,7,29162.15508751525,12,7,2098.557086746479,14,7,2077.530182809023,12,7,2173.7539514574855,12,7,0.21996016849559297,0.41218801510940795
P00243,GENE0243,Protein description 243,GENE0243_HUMAN,1705.172052122956,6,7,1354.2598883669086,4,8,1959.1657573157956,5,7,2218.8741397379235,6,8,1617.6942250983925,5,8,1837.5684674680647,4,7,1591.3357891401886,6,8,1426.1868852427028,4,8,1645.0731062337697,5,7,0.18130112518956665,0.42464270300709367
P00244,GENE0244,Protein description 244,GENE0244_HUMAN,2537.528485449526,13,6,2687.757402109118,14,5,2340.7311075601765,15,5,2434.6068810063807,15,5,3052.847855439058,15,5,3129.125460901619,13,6,2325.441125052957,15,6,2123.002725728156,15,6,2360.505550004727,13,5,0.1809392919726207,0.23313650568417382
P00245,GENE0245,Protein description 245,GENE0245_HUMAN,1176529.9493370024,9,2,1215402.0472437167,11,1,1370925.4147126253,10,1,1516249.502983088,11,1,1643322.5589458398,9,2,1349888.284574425,11,1,1056554.3898416525,9,2,1061699.026758234,10,2,1042600.7236149061,9,2,0.2596137064546262,0.07093015815900154
P00246,GENE0246,Protein description 246,GENE0246_HUMAN,3535.359070121453,4,7,3688.45702973832,6,6,3710.0920071548676,4,6,3454.4853483486577,4,6,3788.052325873992,5,6,4176.519382780472,5,6,3058.180775298614,6,7,,4,7,3332.5054678303172,4,7,0.058633014029926045,0.5143136003707854
P00247,GENE0247,Protein description 247,GENE0247_HUMAN,4530.817167406212,10,3,5300.838666640294,8,2,4258.428810866648,8,3,6153.434257598905,10,3,4445.928719929741,9,3,5679.905641241541,9,3,4634.387183007192,10,2,3914.0801834262065,8,3,4106.355840727008,9,3,0.2011434838033903,0.30102546768122734
P00248,GENE0248,Protein description 248,GENE0248_HUMAN,733002.6946491374,4,3,671723.6195437005,4,3,816301.8581382288,2,3,794537.5426796542,2,2,987382.8069359227,2,2,821870.3436176212,4,3,559889.1047792309,3,2,767934.3942623184,2,3,618078.4527046619,3,3,0.22728224251601148,0.14773528528116173
P00249,GENE0249,Protein description 249,GENE0249_HUMAN,5184305.434652129,13,2,5288735.6699054735,13,2,4706813.840649432,13,1,6096253.705369179,13,1,5650910.616420703,13,1,5183747.142462944,12,2,4065813.742026935,12,1,4254052.4938940825,14,2,4801033.951341965,13,1,0.15619242579442982,0.14078348665438487
P00250,GENE0250,Protein description 250,GENE0250_HUMAN,3932.464147746666,13,3,4535.524193587628,13,2,5082.131041247627,15,2,4904.607365019323,15,3,4511.426058661567,14,3,6698.475065031662,14,2,3129.9754761674,14,3,4242.7244966354365,13,2,4436.355541714271,15,3,0.23647246572686242,0.310606974101714
P00251,GENE0251,Protein description 251,GENE0251_HUMAN,19783.633110274917,5,4,16704.72599189501,4,5,16530.757513956632,4,5,19528.89715535139,4,5,21210.380674831118,5,5,16450.56630525354,5,4,16664.14052888961,5,5,15359.989904261165,6,5,14637.490277110022,5,5,0.10626723223245271,0.48062261640866877
P00252,GENE0252,Protein description 252,GENE0252_HUMAN,59369.53677231225,4,2,59131.25685047358,5,2,63666.25251998236,3,2,89017.69110711449,4,2,72497.38841986313,4,3,58103.87905159047,3,2,58096.35515354615,5,2,42393.620488117034,5,2,50371.71938630811,5,3,0.24882764752065611,0.2413002095267534
P00253,GENE0253,Protein description 253,GENE0253_HUMAN,743002.4389712246,7,3,601717.3075957416,7,3,761737.4353077073,7,3,813519.4887064279,8,3,704620.5382267967,6,4,596210.7764722378,7,3,565680.5755839194,6,4,556850.5099220035,6,3,502446.77205492416,8,3,0.0016997624985357618,0.9924393238942959
P00254,GENE0254,Protein description 254,GENE0254_HUMAN,6405.404847274802,12,5,7315.867121301941,11,4,4144.266905811256,11,4,8066.712856958568,11,5,7273.245471371724,12,4,7129.590969893613,11,5,4984.62618715003,13,5,4684.297764101465,13,5,5129.171729319223,11,5,0.36898797705988073,0.21950445999642482
P00255,GENE0255,Protein description 255,GENE0255_HUMAN,21847.452343842066,9,4,20583.166223711716,11,4,24749.412813070565,10,5,17110.496252838744,9,5,21222.017038677765,9,4,27860.727879674458,9,5,17546.759302866023,9,4,18921.448228558096,10,4,17051.49672247838,11,5,-0.04588264666026731,0.8436293352961168
P00256,GENE0256,Protein description 256,GENE0256_HUMAN,136292.96073188932,2,3,165998.25412012558,3,4,134775.5417986512,2,3,169751.32350940595,2,4,138880.53338202502,1,3,135225.06295688043,1,3,97033.91783777419,3,4,124010.32307865174,2,3,120864.71230834002,1,3,0.02139731888965457,0.8877547126940237
P00257,GENE0257,Protein description 257,GENE0257_HUMAN,73692.8105398605,3,5,73074.8019235627,2,4,82493.5705292095,1,5,107063.54852872681,3,5,75612.2257840061,1,4,89177.5107357828,1,5,73693.55565996974,3,5,50659.31191546442,2,4,52837.87870709991,2,4,0.23350511708385469,0.2075902824686138
P00258,GENE0258,Protein description 258,GENE0258_HUMAN,13751.626476319036,5,8,18431.316542482098,5,8,17795.712089175948,4,8,22842.76119990204,5,7,20702.10031291002,4,8,21087.6574099659,5,7,13622.750251512265,5,8,14378.675472511835,4,8,,4,8,0.3815406598915523,0.05286882833764726
P00259,GENE0259,Protein description 259,GENE0259_HUMAN,26286.827651643674,10,3,23543.76239400939,11,3,31487.196239976776,10,2,27191.857462739204,11,3,,10,2,29146.960135596233,12,2,19051.476070091667,10,3,26167.407523800302,12,3,21194.69135603764,10,2,0.06510998810059476,0.7149633213417919
P00260,GENE0260,Protein description 260,GENE0260_HUMAN,3090.2834043083503,5,1,3104.585862009892,4,1,3110.4409022368327,5,2,3101.7853039508987,5,2,2956.6564777882018,4,1,3278.886938571592,5,2,2809.555378096404,5,1,2881.276539254892,6,2,2280.1066943061624,6,1,0.003670846754030066,0.936381103314559
P00261,GENE0261,Protein description 261,GENE0261_HUMAN,16869.324466215225,13,7,21196.966034023386,12,7,21736.20551787683,12,7,21551.135018901103,12,7,25928.121883321663,14,7,24060.462064064035,13,6,21205.03871295737,14,7,17298.835069430905,12,6,20610.448551564758,12,7,0.26352860400185385,0.1324401259471879
P00262,GENE0262,Protein description 262,GENE0262_HUMAN,21084.437373520825,5,1,22551.676437393093,4,2,23142.934921229924,6,1,31327.05539521863,5,2,20651.11490979463,4,2,28012.770233464707,4,2,20147.476293381555,6,1,19074.573340408504,4,2,15293.82163082286,5,2,0.23990948633330333,0.2623893568583487
P00263,GENE0263,Protein description 263,GENE0263_HUMAN,51073.05470746587,13,7,47462.23442200512,13,7,54145.34984231372,12,7,50723.28101939027,14,6,51632.81293570485,13,7,50695.79051402882,14,7,43914.99358915381,13,7,38974.56722801799,13,7,41762.613058421965,14,6,0.0055408046817522205,0.9254969194061768
P00264,GENE0264,Protein description 264,GENE0264_HUMAN,13712.425010568386,13,4,10834.913915655114,12,4,11391.484506487917,12,3,13801.700359507617,13,3,16545.526598544282,12,4,13212.255850171354,13,4,12808.628664858461,13,4,13569.216357507881,13,3,10572.084628899063,14,3,0.27801228306013925,0.12450449948933123
P00265,GENE0265,Protein description 265,GENE0265_HUMAN,78271.98198992628,10,6,75599.00733684334,10,7,56322.87718806417,11,6,682132.6950849128,12,7,586892.0279746746,11,7,622765.9652239506,11,7,5486.501823188964,11,7,5764.141319982323,12,6,5145.438520215052,10,7,3.1823458697570572,4.086365122907744e-05
P00266,GENE0266,Protein description 266,GENE0266_HUMAN,203656.02105240175,4,3,176971.5610967446,5,2,177215.24055864284,4,2,190259.27983559712,4,3,242233.17447230662,3,2,275340.6726384505,5,2,133439.49301380586,3,3,166890.87594206585,5,3,186285.59631880105,4,3,0.33014210939659705,0.12436394148259207
P00267,GENE0267,Protein description 267,GENE0267_HUMAN,48721.60821193444,1,3,47807.41464657784,3,2,49734.61917848835,3,3,,3,3,57366.462664478044,1,2,45729.13816311093,1,2,40911.52205002141,2,3,49092.66338473164,1,2,35468.174031064365,2,3,0.07131178747633982,0.6048042754367803
P00268,GENE0268,Protein description 268,GENE0268_HUMAN,79320.73622616759,4,3,61293.31960649019,3,4,63257.22802013016,3,4,9118.961313708405,4,4,7371.671129690776,3,3,8591.20275358727,4,3,61395.06223368087,5,4,52119.36052985299,3,4,49647.42144567594,4,3,-3.0189070657581407,3.464244369664706e-05
P00269,GENE0269,Protein description 269,GENE0269_HUMAN,27105.034777139055,10,4,37107.698395014726,10,3,37286.094569538174,11,3,43351.449142786296,10,3,41311.84216826415,10,3,43346.718007946525,11,3,27515.833865892404,9,3,30275.69854408192,10,3,28709.76648957444,9,4,0.34988043530061397,0.08549989491374405
P00270,GENE0270,Protein description 270,GENE0270_HUMAN,27868.48053005511,10,6,30076.352148198494,9,6,31776.25364258673,11,6,29826.620840578817,11,7,34483.05077904075,9,6,41713.362897367595,9,7,29284.893598478324,11,7,33194.67616864266,10,7,29458.44922890639,10,6,0.22926153199741783,0.20230637464128323
P00271,GENE0271,Protein description 271,GENE0271_HUMAN,8606.253898537418,14,6,10588.174084717213,15,6,11015.525638059473,14,6,9519.903151110115,13,5,9685.102034333802,14,5,11156.742591383923,14,6,7507.162012399705,13,5,8971.76815038823,15,5,9153.227274286925,13,6,0.01177478533405818,0.9332589967779306
P00272,GENE0272,Protein description 272,GENE0272_HUMAN,41891.51877006385,15,7,,15,8,61134.80551993599,14,8,67094.33368313037,14,7,57548.814145797965,15,8,65877.37398903807,14,8,43082.54162592708,13,8,56130.60570025241,14,8,44984.30151086108,14,8,0.3242606440405247,0.24078575311273145
P00273,GENE0273,Protein description 273,GENE0273_HUMAN,27990.398874924886,5,6,24291.382468111464,5,6,31466.4053796074,6,5,1804.4261222477492,7,6,2778.426042889653,6,6,2125.724312350506,7,6,29846.500185882735,7,5,31995.879313306108,5,6,27244.836546990864,7,6,-3.6570702963423614,6.524430789252558e-05
P00274,GENE0274,Protein description 274,GENE0274_HUMAN,1391349.966111749,7,2,1231138.653046617,6,3,1190897.9086209708,8,3,1342103.9684126414,8,2,1442248.1899280525,7,3,1547073.0930186019,8,3,1156580.621396386,6,2,965446.0375697106,8,2,1283987.245941915,7,3,0.1846096372255488,0.11048959917887947
P00275,GENE0275,Protein description 275,GENE0275_HUMAN,432865.5638335571,12,2,592128.2185565481,11,1,574608.5522918989,11,2,609519.0833023695,11,1,582303.9228138251,13,2,492322.92368451355,12,2,482194.0825297569,12,1,603186.2791162959,12,1,463955.6512647923,11,2,0.08221351245435571,0.6571863527905146
P00276,GENE0276,Protein description 276,GENE0276_HUMAN,76129.56073293902,12,2,74040.98618575119,11,2,50205.591548170574,13,2,83847.3068262026,13,2,74498.40163915891,12,2,76046.05435982217,11,2,59406.753622923534,13,2,64356.86525030562,12,2,49219.22474021879,11,3,0.24907279946875605,0.2827615688720274
P00277,GENE0277,Protein description 277,GENE0277_HUMAN,8248.303720830952,6,7,9746.227173435447,6,8,8174.101726222422,5,7,9005.141099384566,6,8,8276.307836246287,5,8,9956.298299449443,6,8,6466.227238480108,6,8,8252.54323816215,7,8,7366.740306127512,7,7,0.05844804628294398,0.6319814166474433
P00278,GENE0278,Protein description 278,GENE0278_HUMAN,4675.1416200110525,1,7,4930.069551090956,3,7,5819.541329568894,3,6,5186.157537689638,2,6,4957.37331873072,3,7,5163.575291736627,1,7,4260.528024839702,1,6,3972.3062791303314,2,7,4310.673004964325,2,7,-0.004970412853822381,0.9617354471468311
P00279,GENE0279,Protein description 279,GENE0279_HUMAN,282200.1206267041,2,7,340392.597948257,4,7,274697.0306030098,2,7,331758.07711073034,2,6,238394.48906971872,3,7,472268.8833053263,4,7,239802.9882159008,2,6,254308.5192798514,4,7,254704.77955734188,4,7,0.16711045794027868,0.6082610662854799
P00280,GENE0280,Protein description 280,GENE0280_HUMAN,45562.99304477289,11,2,50031.10912784387,11,3,47347.389370122364,12,2,50717.12820359174,11,2,58681.24912687076,12,2,49144.49572954592,12,3,37538.74298940281,13,2,,12,2,51920.2733960474,13,3,0.14614321403450248,0.172148996420416
P00281,GENE0281,Protein description 281,GENE0281_HUMAN,79208.68093347874,5,4,101499.42901385798,6,4,68965.9902215807,6,5,84733.62906877365,6,4,81755.29571100404,6,5,98587.14712631503,7,5,66527.7123826754,5,5,57203.45919529831,6,5,69448.66278152441,6,5,0.10023435679433845,0.6127931403682827
P00282,GENE0282,Protein description 282,GENE0282_HUMAN,1328.1045708057372,12,5,1368.1505776812076,12,5,,11,5,1832.7534768913843,11,6,2048.165527421706,10,5,1587.459729520987,11,5,1338.9416082770676,10,6,1367.8635365397308,11,5,,10,5,0.427557134500562,0.05364870813791648
P00283,GENE0283,Protein description 283,GENE0283_HUMAN,174432.90395639386,11,7,149160.25616875204,13,8,186779.56372155357,12,8,199496.17738208646,11,7,163804.92780991408,12,7,197439.39133296005,13,8,158641.13781137107,12,7,105788.87862976303,12,7,159585.48960897748,13,7,0.13629257130045147,0.36427479229198806
P00284,GENE0284,Protein description 284,GENE0284_HUMAN,75721.6385820057,14,6,56602.6992994071,13,6,71509.45746002186,12,5,88433.31082123063,14,5,78028.8216555778,13,6,114772.51999659621,14,6,81254.11257819133,12,5,52718.59733571131,13,5,63048.33647962531,14,6,0.45653060881293683,0.09348713384011671
P00285,GENE0285,Protein description 285,GENE0285_HUMAN,4698.405514360239,9,1,5665.680812716777,9,2,5371.234249411201,9,2,5414.548439504768,8,1,5195.944536483061,8,2,4773.300791934317,9,1,5136.571357806496,9,2,3889.679435081025,7,2,3991.2618935031605,7,1,-0.030153298896165026,0.7703734543843949
P00286,GENE0286,Protein description 286,GENE0286_HUMAN,15139.23872884919,9,6,16705.38084492155,9,7,14481.852197241322,10,7,15462.597620463726,9,6,19517.77048886046,9,7,15362.622580198627,11,6,12040.442066847649,11,6,10732.011113582132,9,7,12514.828061565682,11,7,0.11338127410327559,0.428690233987942
P00287,GENE0287,Protein description 287,GENE0287_HUMAN,42244.650890117955,4,7,49811.26266139923,5,7,68399.37460357146,4,8,62296.47235411896,5,8,53248.25261709366,3,8,55767.538496432055,3,7,6064.021832448747,5,8,6940.5166951596575,4,8,5516.294967540819,3,7,0.12069548500816829,0.6041502369142662
P00288,GENE0288,Protein description 288,GENE0288_HUMAN,,14,1,39969.442412812896,14,2,37937.79496256799,14,1,8711.459494739918,13,1,9000.096919698644,14,1,6983.2460595943485,13,2,31473.241570939404,15,1,33034.34882405498,13,2,,14,2,-2.2509438024439703,0.0006559660516226957
P00289,GENE0289,Protein description 289,GENE0289_HUMAN,18863.220673150518,13,4,20141.044763929367,14,3,20872.88357202495,13,4,19562.54365379551,14,3,26573.64686479288,13,3,26724.216503128268,14,3,14936.316880183427,14,3,13205.126121329356,13,4,17127.78995473904,12,3,0.26963113052624266,0.1563168215599132
P00290,GENE0290,Protein description 290,GENE0290_HUMAN,26982.73381271842,7,7,33090.57735647453,6,8,24847.71403192145,7,7,30386.347653936795,8,7,29815.156810016313,6,8,28639.12549846913,8,7,23439.166612457197,7,8,26018.95847567248,7,8,24372.7500337769,7,7,0.07529550742562385,0.580569929500065
P00291,GENE0291,Protein description 291,GENE0291_HUMAN,20980.877104134954,6,7,18407.332412727385,5,7,22445.859298073006,6,7,23498.812527938342,7,7,20992.620250270902,5,8,22024.12018944798,7,8,19364.651039561653,5,7,19724.011805932638,5,7,17658.411931863135,6,8,0.1085832028203857,0.3226878263424378
P00292,GENE0292,Protein description 292,GENE0292_HUMAN,43309.44878405724,12,7,44449.94103051103,11,7,42870.048561792966,10,8,46207.907456645895,12,8,46115.81127678621,11,7,48260.77711409473,11,8,208714.53370388204,10,7,190217.30409436498,11,7,177090.96973405997,10,8,0.10580633848733179,0.016124449095724726
P00293,GENE0293,Protein description 293,GENE0293_HUMAN,441941.4587648432,7,7,333386.70713832637,7,8,463673.9373848932,6,8,427283.8791882996,8,8,488303.4598103469,6,8,377860.8895718966,8,7,333536.80042720906,6,8,339696.28017610894,6,7,399511.8503580779,6,7,0.06888853051397703,0.7255430577147397
